label,total_flagged,percent_of_initial_records,flag_system,handling,analysis_implication
Taxonomic review flag,0,0.0,Non-mutually exclusive exclusion/review flag,Causes exclusion from conservative spatial/event-eligible set or requires review.,Blocks conservative use until source-level review.
Missing coordinates,99,6.30573248407643,Non-mutually exclusive exclusion/review flag,Causes exclusion from conservative spatial/event-eligible set or requires review.,Blocks conservative use until source-level review.
Invalid coordinate range,0,0.0,Non-mutually exclusive exclusion/review flag,Causes exclusion from conservative spatial/event-eligible set or requires review.,Blocks conservative use until source-level review.
Zero-zero coordinates,0,0.0,Non-mutually exclusive exclusion/review flag,Causes exclusion from conservative spatial/event-eligible set or requires review.,Blocks conservative use until source-level review.
Latitude equals longitude,0,0.0,Non-mutually exclusive exclusion/review flag,Causes exclusion from conservative spatial/event-eligible set or requires review.,Blocks conservative use until source-level review.
Coordinate uncertainty >10 km,24,1.52866242038217,Non-mutually exclusive exclusion/review flag,Causes exclusion from conservative spatial/event-eligible set or requires review.,Blocks conservative use until source-level review.
Missing country metadata,3,0.191082802547771,Non-mutually exclusive exclusion/review flag,Causes exclusion from conservative spatial/event-eligible set or requires review.,Blocks conservative use until source-level review.
Unexpected country metadata,1,0.0636942675159236,Non-mutually exclusive exclusion/review flag,Causes exclusion from conservative spatial/event-eligible set or requires review.,Blocks conservative use until source-level review.
Country-coordinate mismatch,0,0.0,Non-mutually exclusive exclusion/review flag,Causes exclusion from conservative spatial/event-eligible set or requires review.,Blocks conservative use until source-level review.
Future event date,0,0.0,Non-mutually exclusive exclusion/review flag,Causes exclusion from conservative spatial/event-eligible set or requires review.,Blocks conservative use until source-level review.
Implausible event year,0,0.0,Non-mutually exclusive exclusion/review flag,Causes exclusion from conservative spatial/event-eligible set or requires review.,Blocks conservative use until source-level review.
Non-present occurrence,0,0.0,Non-mutually exclusive exclusion/review flag,Causes exclusion from conservative spatial/event-eligible set or requires review.,Blocks conservative use until source-level review.
Coordinate uncertainty missing,1479,94.203821656051,Non-mutually exclusive warning flag,"Compatible with retention, but affects interpretation or selected analyses.",Retained for event/grid analyses; weak for SDM or fine-scale inference.
Rounded-coordinate warning,676,43.0573248407643,Non-mutually exclusive warning flag,"Compatible with retention, but affects interpretation or selected analyses.",Retained for generalized grid summaries; not used to infer exact-site precision.
Pre-1900 record,3,0.191082802547771,Non-mutually exclusive warning flag,"Compatible with retention, but affects interpretation or selected analyses.",Retained for historical temporal context; not evidence of current occupancy.
Putative duplicate specimen,121,7.70700636942675,Non-mutually exclusive warning flag,"Compatible with retention, but affects interpretation or selected analyses.",Retained in database accounting; event representative handles independence.
Putative duplicate event,94,5.98726114649681,Non-mutually exclusive warning flag,"Compatible with retention, but affects interpretation or selected analyses.",Retained in database accounting; one representative event is used for event analyses.
Probable locality-date duplicate,997,63.5031847133758,Non-mutually exclusive warning flag,"Compatible with retention, but affects interpretation or selected analyses.",Signals potential non-independence; checked in sensitivity analyses.
Duplicate coordinate-date group,830,52.8662420382166,Non-mutually exclusive warning flag,"Compatible with retention, but affects interpretation or selected analyses.","Used for temporal sensitivity, not as a biological replicate."
Shared environmental cell,1417,90.2547770700637,Non-mutually exclusive warning flag,"Compatible with retention, but affects interpretation or selected analyses.",Signals environmental clustering; relevant to SDM gate.
